AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BEDROOM,SALES_PRICE
Chrompet,1162,27,1,1,3,Partial,No,Commercial,AllPub,Paved,RM,4.2,2.5,13308950
Karapakkam,1124,112,1,1,3,Family,No,House,NoSewr ,Paved,RM,4.9,2,7049500
KK Nagar,2392,51,4,2,6,Partial,Yes,House,NoSewr ,Gravel,RM,4.5,4.7,13283040
Chrompet,1256,129,2,1,4,Family,Yes,Commercial,NoSeWa,No Access,RL,4.8,3.1,14006950
T Nagar,1611,192,1,1,4,Normal Sale,No,Others,NoSewr ,Gravel,RH,4.4,3.7,12198470
KK Nagar,1399,65,2,1,4,Normal Sale,No,Others,NoSeWa,Gravel,RH,2,4.8,9106920
Velachery,1738,30,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,No Access,RH,2.9,3,14152290
Velachery,1843,148,3,2,5,Normal Sale,Yes,Others,ELO,No Access,I,4.9,3.9,9880180
Chrompet,920,87,1,1,3,AbNormal,No,Others,ELO,Paved,RM,2.4,3.8,8522150
Anna Nagar,1804,87,2,1,5,AbNormal,No,House,NoSeWa,Gravel,RL,2.6,4.8,13083950
Chrompet,1272,67,2,1,4,Partial,Yes,Others,NoSewr ,Paved,RH,4.1,3.4,10363390
Velachery,1690,28,2,1,4,AbNormal,No,Others,ELO,Paved,RH,3.6,2.1,8802450
Velachery,1502,170,2,1,4,Normal Sale,No,House,NoSeWa,No Access,I,3.8,3.6,6307030
Chrompet,710,83,1,1,2,Partial,Yes,House,AllPub,No Access,RM,4.9,4.8,8062500
Chrompet,1060,200,1,1,3,AbNormal,Yes,Others,ELO,Paved,RH,3.9,4,9081450
Chrompet,952,136,1,1,3,Partial,Yes,Commercial,NoSeWa,No Access,RL,2.2,5,11517700
Adyar,1240,51,2,2,4,Partial,Yes,Commercial,AllPub,No Access,C,2.3,3.3,12582025
Anna Nagar,1540,58,1,1,4,AdjLand,Yes,Others,NoSewr ,Paved,RH,4.3,3.7,13124770
T Nagar,1991,130,2,1,5,Normal Sale,No,Commercial,NoSeWa,Paved,RM,2.2,3.2,22319600
Karapakkam,560,117,1,1,2,Normal Sale,Yes,Commercial,ELO,Gravel,I,4.7,4.2,7355250
KK Nagar,2419,50,4,2,6,Partial,Yes,Others,NoSeWa,Paved,RL,2.1,2.4,13039560
Velachery,1812,39,3,2,5,Normal Sale,No,House,NoSewr ,Gravel,RH,4.6,3.4,10105720
KK Nagar,2415,33,4,2,6,AdjLand,Yes,House,AllPub,Gravel,RM,3.5,4.5,14198300
Chrompet,1047,92,1,1,3,Partial,No,Commercial,ELO,No Access,RM,2.6,4.7,11867200
Adyar,954,189,1,1,3,AdjLand,Yes,Commercial,NoSeWa,No Access,RH,2.7,3.4,12338765
Adyar,641,35,1,1,2,AdjLand,No,House,NoSeWa,No Access,RH,2,3.5,6235675
Anna Nagar,1591,157,1,1,4,Normal Sale,No,House,NoSeWa,Gravel,RM,4.4,4.6,12220490
Anna Nagar,1815,130,2,1,5,AdjLand,Yes,Others,NoSewr ,Gravel,RH,2.2,3.2,14415250
Adyar,1027,74,1,1,3,AbNormal,No,House,NoSewr ,Gravel,A,4.3,4.1,6816270
Karapakkam,1181,37,1,1,3,Normal Sale,Yes,Commercial,NoSeWa,No Access,RL,3,3.7,10188250
Velachery,1998,91,3,2,5,Family,Yes,House,AllPub,Gravel,A,2.5,3.3,9346520
Karapakkam,1161,19,1,1,3,Partial,Yes,Others,ELO,Gravel,RM,5,3.1,9238625
Karapakkam,643,192,1,1,2,Family,Yes,Others,ELO,Gravel,A,4,2.3,4546625
T Nagar,1885,117,2,1,5,AbNormal,No,House,NoSeWa,No Access,RM,4.1,2.7,12782330
Adyar,674,92,1,1,2,Normal Sale,No,Others,ELO,Paved,RL,3.8,4.5,7212670
Chrompet,884,163,1,1,3,Partial,Yes,Others,AllPub,Paved,RH,3.2,4.5,8646080
Karapakkam,1014,195,1,1,3,Partial,Yes,Commercial,ELO,Paved,RL,4.8,3.8,9642250
Adyar,719,43,1,1,2,Family,No,House,ELO,Paved,A,3.6,2.2,4408790
Karapakkam,792,179,1,1,2,Family,No,House,AllPub,Paved,A,2.6,4.3,3250250
KK Nagar,2085,134,3,2,5,Family,No,House,AllPub,Gravel,RM,4.4,4.1,11638340
Chrompet,1048,6,1,1,3,AdjLand,Yes,Commercial,NoSewr ,No Access,RL,4.2,2.2,13131500
Adyar,1069,159,1,1,3,Partial,No,Others,NoSeWa,Gravel,A,2.5,3,7018200
Adyar,868,125,1,1,3,Partial,No,Commercial,ELO,Paved,I,3.5,2.4,9626920
Karapakkam,862,78,1,1,2,Family,No,Commercial,NoSewr ,Paved,C,4.4,4.5,6840500
Velachery,1658,143,2,1,4,AdjLand,No,Commercial,AllPub,Paved,I,5,3.7,13754660
Anna Nagar,1814,195,2,1,5,Family,No,House,NoSeWa,Gravel,RM,2.8,2.6,13479660
Karapakkam,1512,97,2,2,4,AbNormal,Yes,House,NoSeWa,Paved,RM,2.1,2.7,9625250
KK Nagar,2330,144,4,2,6,Partial,No,Commercial,NoSewr ,Paved,RM,4,5,18428120
Karapakkam,507,145,1,1,2,Partial,Yes,Others,NoSeWa,Paved,A,3.2,4.5,3602875
Chrompet,863,80,1,1,3,Family,No,Commercial,NoSeWa,Paved,RL,4.3,3.3,10491150
Karapakkam,1622,78,2,2,4,AbNormal,Yes,House,ELO,No Access,I,2.7,3.4,6993500
Chrompet,796,79,1,1,2,AdjLand,No,Others,ELO,Paved,RH,4.7,2.6,7222220
Karapakkam,596,161,1,1,2,Family,No,House,NoSeWa,Paved,RL,2.7,3.5,5259250
Chrompet,945,145,1,1,3,Normal Sale,No,Commercial,NoSeWa,No Access,RL,2.6,3.7,11045500
Chrompet,840,180,1,1,3,Partial,No,Others,NoSeWa,No Access,RL,4.2,3.7,6791800
Anna Nagar,1799,39,1,1,4,Normal Sale,No,Others,NoSewr ,No Access,RM,2.9,5,13179060
T Nagar,1769,79,1,1,4,AdjLand,No,Commercial,NoSewr ,Paved,RM,3.9,4,20613320
KK Nagar,1354,169,2,1,4,AdjLand,No,Others,NoSewr ,Paved,RL,4.6,2.3,9350120
Anna Nagar,1979,151,2,1,5,AbNormal,Yes,House,NoSewr ,Paved,RL,4.8,4.9,14102030
Chrompet,1168,15,1,1,3,Family,Yes,Commercial,NoSewr ,Paved,RL,4.3,3.6,14403150
Velachery,1944,152,3,2,5,AdjLand,No,Others,NoSewr ,Paved,A,4.1,4.4,8990700
Karapakkam,1122,115,1,1,3,Normal Sale,Yes,House,NoSeWa,Gravel,RL,2.4,4.5,8538500
Velachery,1666,161,2,1,4,Normal Sale,Yes,Others,AllPub,Gravel,A,2.9,3,8724510
T Nagar,1977,52,2,1,5,Normal Sale,Yes,House,ELO,Paved,RL,3.4,4.9,13968290
KK Nagar,2237,28,4,2,6,AbNormal,No,Commercial,NoSewr ,Paved,RM,3.5,3.1,18125300
Velachery,1760,42,2,1,4,Partial,No,Others,ELO,Paved,I,2.1,2.6,8065300
Chrompet,1159,108,1,1,3,AbNormal,No,Others,NoSewr ,No Access,RH,3.4,2.1,8017830
Chrompet,874,97,1,1,3,Family,No,House,NoSewr ,Gravel,RH,2.3,4.7,7586300
Adyar,1082,4,1,1,3,AdjLand,No,House,AllPub,Gravel,C,3.6,2.1,7892890
Chrompet,1079,37,1,1,3,Partial,Yes,Others,NoSeWa,No Access,RM,4.1,4,9864980
Karapakkam,1112,140,1,1,3,Family,No,House,AllPub,Gravel,A,3.7,3.2,4771750
Karapakkam,1188,97,1,1,3,AdjLand,No,Commercial,ELO,Paved,RH,2.6,2.2,9345250
T Nagar,1878,108,2,1,5,Normal Sale,Yes,House,NoSewr ,No Access,RL,4.2,3.7,13307710
Velachery,1642,131,2,1,4,Partial,No,Commercial,ELO,Paved,RM,3.3,4.5,14666960
Chrompet,1032,16,1,1,3,Normal Sale,No,House,NoSeWa,No Access,RH,3.3,4.8,7096350
T Nagar,1657,130,1,1,4,AbNormal,No,House,ELO,Gravel,RH,3.8,3.5,11517200
Chrompet,1060,99,1,1,3,AdjLand,Yes,Commercial,ELO,No Access,RH,2.1,3.4,12291450
Chrompet,782,80,1,1,2,Partial,No,Others,NoSewr ,Paved,RM,2.9,2.9,7751590
Velachery,1958,182,3,2,5,Family,No,Others,ELO,Gravel,I,2.7,4.4,10004420
KK Nagar,1511,68,2,1,4,AbNormal,Yes,House,NoSewr ,Gravel,RH,4.3,3.3,9579340
Adyar,1177,48,1,1,3,AbNormal,Yes,Others,NoSeWa,Paved,RL,3.3,2.3,10525540
KK Nagar,2427,50,4,2,6,AdjLand,Yes,Others,AllPub,Paved,RM,2.1,3,14376540
Karapakkam,916,139,1,1,3,Normal Sale,No,House,NoSewr ,Paved,RL,2.4,3.8,6042750
KK Nagar,1910,166,3,2,5,Normal Sale,Yes,House,NoSewr ,Gravel,RM,3.7,4.2,12343180
Adyar,877,58,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Paved,C,4.4,4.3,11229080
T Nagar,1781,160,1,1,4,AbNormal,Yes,House,NoSeWa,Gravel,RH,5,3.6,13018400
Velachery,1688,23,2,1,4,Partial,Yes,House,AllPub,Gravel,I,2,3.2,9648350
Karapakkam,500,113,1,1,2,AdjLand,No,House,ELO,Gravel,A,3.3,2,3540750
Velachery,1597,10,2,1,4,AbNormal,No,House,NoSewr ,Gravel,C,2.6,2.2,7216250
Karapakkam,1670,167,2,2,4,AdjLand,Yes,Others,NoSeWa,Gravel,RH,3.4,4,10179250
KK Nagar,2211,49,3,2,5,AbNormal,No,Others,AllPub,Gravel,RH,2.8,5,12053600
Karapakkam,527,112,1,1,2,Normal Sale,Yes,Others,AllPub,Paved,A,2.6,4,4555875
Adyar,921,94,1,1,3,Partial,No,Commercial,NoSewr ,No Access,A,3.1,3.9,8558785
Velachery,1631,196,2,1,4,Partial,Yes,Others,NoSeWa,Paved,I,4.2,4.1,9241990
Karapakkam,1624,2,2,2,4,AdjLand,Yes,House,ELO,Paved,RL,2.8,4.7,9170500
Anna Nagar,1767,181,1,1,4,AdjLand,No,Commercial,NoSewr ,No Access,RH,3.6,4.4,18402320
Karapakkam,517,75,1,1,2,Normal Sale,No,Commercial,ELO,No Access,A,3.6,2.5,3120000
Karapakkam,828,158,1,1,2,Normal Sale,No,House,AllPub,Paved,A,3.7,3.6,4158500
KK Nagar,1328,72,1,1,3,Partial,No,House,AllPub,Gravel,RM,3.9,3.8,9235640
Anna Nagar,1734,119,1,1,4,Family,Yes,Others,NoSewr ,Gravel,RM,2.9,4.2,15340770
Chrompet,804,25,1,1,3,AdjLand,Yes,Commercial,NoSeWa,No Access,RH,3.5,4.7,10446850
T Nagar,1919,185,2,1,5,Normal Sale,No,Commercial,ELO,Gravel,RM,4,4.6,22027780
Velachery,1694,68,2,1,4,Partial,No,Others,AllPub,Gravel,RL,3.2,3.3,10506840
Velachery,1767,181,2,1,4,AdjLand,No,House,NoSeWa,Paved,RM,3,3.8,10512770
Velachery,1612,10,2,1,4,AdjLand,Yes,House,AllPub,Gravel,A,4.5,2.4,8534940
KK Nagar,1407,28,2,1,4,AbNormal,No,Others,NoSewr ,Gravel,RH,2.5,4.5,9239640
Karapakkam,1229,1,1,1,3,Family,No,Commercial,AllPub,No Access,RH,3.5,3.9,9429000
Karapakkam,1674,102,2,2,4,Partial,Yes,Commercial,AllPub,No Access,RM,2.6,4.1,13251250
Velachery,1523,56,2,1,4,Family,Yes,Commercial,ELO,Paved,A,3.7,4.5,12202770
KK Nagar,2259,130,4,2,6,Partial,No,Others,NoSewr ,Paved,RL,4.4,3.8,11874300
Adyar,1146,197,1,1,3,AbNormal,Yes,House,ELO,No Access,RL,3.1,3.4,8987700
Velachery,1885,47,3,2,5,Normal Sale,No,Others,NoSeWa,Paved,A,3.8,2.6,8134610
Anna Nagar,1712,173,1,1,4,Normal Sale,Yes,Commercial,ELO,No Access,RL,4.8,3.5,18917730
Chrompet,717,130,1,1,2,AdjLand,No,House,ELO,Paved,RM,3.2,2.6,7539800
Karapakkam,1101,23,1,1,3,Normal Sale,Yes,Others,NoSeWa,Gravel,A,4.9,3.2,6564625
KK Nagar,2158,118,3,2,5,Family,No,House,NoSewr ,Paved,RH,3.5,2.2,9753980
Chrompet,823,114,1,1,3,AdjLand,No,House,NoSewr ,Paved,RM,3.5,3,8261100
Anna Nagar,1530,40,1,1,4,AbNormal,No,Commercial,ELO,Gravel,RH,2.3,4.9,17396720
Anna Nagar,1817,131,2,1,5,AbNormal,Yes,House,NoSeWa,Gravel,RH,4.4,2.2,13286630
Karapakkam,1311,99,1,1,3,AbNormal,No,Others,NoSewr ,Paved,C,2.4,2.5,5923125
Chrompet,819,12,1,1,3,AbNormal,No,Commercial,NoSeWa,Gravel,RM,2,4.5,11624150
Anna Nagar,1559,46,1,1,4,Family,Yes,House,AllPub,Gravel,RM,2,4.5,13630400
Karapakkam,532,0,1,1,2,AdjLand,Yes,Others,NoSeWa,Paved,A,2.2,4.4,4310500
Adyar,1182,178,1,1,3,Normal Sale,Yes,Commercial,AllPub,Gravel,RL,2.4,3.1,15381325
Velachery,1957,173,3,2,5,Partial,No,Commercial,ELO,Gravel,RH,5,4.8,16043910
Chrompet,1136,57,1,1,3,AdjLand,No,House,NoSeWa,No Access,RL,4.7,3.6,8319250
Karapakkam,1337,123,2,2,4,AbNormal,No,House,NoSewr ,No Access,RL,3.1,2.1,6904000
Anna Nagar,1899,102,2,1,5,Partial,Yes,Others,ELO,No Access,RH,3.3,4.9,12957140
Adyar,895,44,1,1,3,AdjLand,No,Commercial,ELO,Gravel,A,2.9,4.9,10161065
Velachery,1666,70,2,1,4,Normal Sale,No,Others,NoSewr ,No Access,A,4.1,4.6,7342750
Velachery,1924,123,3,2,5,Partial,Yes,Commercial,ELO,Gravel,RL,2.8,3.3,16752260
Adyar,968,27,1,1,3,AbNormal,Yes,Commercial,AllPub,Paved,RM,3.1,4.6,13969720
Karapakkam,813,118,1,1,2,Partial,No,Commercial,AllPub,No Access,RH,2.7,4.8,6631500
Adyar,1259,26,2,2,4,Normal Sale,Yes,Commercial,ELO,Gravel,RH,3.2,2.2,15148940
Anna Nagar,1555,43,1,1,4,Family,Yes,Commercial,NoSewr ,Paved,RL,4.5,3.5,18722090
Karapakkam,1033,181,1,1,3,Partial,No,House,NoSewr ,No Access,C,2.4,4.5,4076000
Karapakkam,1275,116,1,1,3,Partial,No,House,AllPub,Gravel,RM,4.9,4.1,8431750
KK Nagar,1916,11,3,2,5,AdjLand,No,Others,NoSeWa,Gravel,RH,4.5,2.2,11069780
Chrompet,714,76,1,1,2,Normal Sale,Yes,House,AllPub,No Access,RH,3.8,4.2,7039700
KK Nagar,1488,185,2,1,4,Partial,No,Commercial,NoSeWa,Paved,RH,2.8,2.2,11991960
Karapakkam,1591,43,2,2,4,AbNormal,Yes,House,NoSeWa,No Access,RM,2.1,4.2,8693250
Chrompet,1075,190,1,1,3,AdjLand,Yes,House,ELO,No Access,RM,3.7,2.9,9745200
KK Nagar,1603,181,2,1,4,AdjLand,Yes,House,NoSeWa,Paved,RH,4.3,5,9750760
KK Nagar,1852,148,3,2,5,AbNormal,Yes,House,NoSeWa,Gravel,RH,2.7,3,10770760
Karapakkam,1504,129,2,2,4,AdjLand,No,House,NoSewr ,Gravel,C,4.3,2.4,6705750
KK Nagar,1950,189,3,2,5,Normal Sale,No,Commercial,NoSewr ,Gravel,RH,4.4,3.9,15461440
Adyar,1279,44,2,2,4,AbNormal,No,Commercial,NoSewr ,Paved,I,2.5,4.2,13744855
Anna Nagar,1931,164,2,1,5,Normal Sale,No,Others,AllPub,No Access,RL,2,4.1,13466270
Adyar,1066,197,1,1,3,AdjLand,No,Commercial,AllPub,Paved,I,4.4,3.7,12063670
Karapakkam,651,139,1,1,2,AbNormal,Yes,House,NoSewr ,Paved,RL,3.6,4.5,6581500
Chrompet,809,88,1,1,3,Family,No,House,NoSeWa,Paved,RL,3.1,3.5,7193800
Karapakkam,1363,117,2,2,4,AbNormal,Yes,Others,AllPub,Gravel,C,5,3.2,7610625
Chrompet,897,178,1,1,3,Partial,No,Others,AllPub,No Access,RH,4.4,5,7022890
Karapakkam,630,97,1,1,2,Normal Sale,No,Commercial,ELO,No Access,C,3.8,3.4,4996250
Adyar,678,3,1,1,2,AbNormal,Yes,House,ELO,Paved,A,3.3,4.7,5438735
Chrompet,740,155,1,1,2,Family,No,Others,AllPub,Gravel,RL,2.2,3.5,8052400
KK Nagar,1507,88,2,1,4,AbNormal,Yes,Commercial,NoSewr ,Gravel,RM,2.1,4.2,15272340
Adyar,999,191,1,1,3,AdjLand,No,Commercial,NoSeWa,No Access,RL,3.8,4.7,11946470
Karapakkam,1632,156,2,2,4,Normal Sale,No,Commercial,NoSeWa,No Access,RL,3.1,3.8,11760250
Karapakkam,1162,132,1,1,3,Normal Sale,Yes,Others,AllPub,No Access,RM,4.7,3.7,8372750
KK Nagar,2042,126,3,2,5,AbNormal,Yes,Commercial,AllPub,Paved,RL,4.2,3.1,17105720
KK Nagar,1321,158,1,1,3,Family,No,House,NoSewr ,Gravel,RM,3.9,2.7,9321900
Adyar,661,88,1,1,2,Normal Sale,No,Commercial,NoSewr ,No Access,C,3.6,2.6,7321755
Karapakkam,1275,73,1,1,3,Partial,No,Commercial,AllPub,Paved,RL,4.8,4.4,10149750
T Nagar,1991,139,2,1,5,AbNormal,Yes,Commercial,AllPub,Gravel,RH,4.2,4.2,22852890
Chrompet,998,105,1,1,3,AdjLand,Yes,House,NoSewr ,No Access,RL,2.9,2,8630100
Velachery,1904,68,3,2,5,Family,Yes,Others,ELO,Paved,I,3.1,2.8,9991620
T Nagar,1655,184,1,1,4,AdjLand,No,Others,NoSeWa,Gravel,RM,3.7,4.5,13904760
Velachery,1644,139,2,1,4,AdjLand,No,Others,AllPub,Paved,RM,4.2,3.4,10881060
Anna Nagar,1804,32,2,1,5,AbNormal,Yes,House,NoSeWa,Gravel,RL,2.9,4.8,13450990
Chrompet,1216,4,2,1,4,Partial,Yes,Commercial,AllPub,Gravel,RM,2.4,2.6,15727600
Velachery,1716,20,2,1,4,AbNormal,Yes,House,AllPub,Gravel,C,2.9,2.1,9603110
Adyar,991,133,1,1,3,Partial,Yes,Commercial,AllPub,Paved,RM,2.5,5,13746840
Adyar,1078,109,1,1,3,Normal Sale,Yes,Commercial,AllPub,Gravel,C,4.8,4.8,13128785
Velachery,1836,17,3,2,5,Normal Sale,No,Others,ELO,Paved,RL,5,4.1,10225500
Karapakkam,1223,192,1,1,3,Partial,No,Others,NoSewr ,Gravel,RM,2.5,4.4,8509625
Velachery,1655,9,2,1,4,AbNormal,Yes,House,AllPub,Paved,RH,2.4,2,10006870
Chrompet,1192,23,1,1,3,Normal Sale,No,Others,ELO,No Access,RH,2.5,5,8007290
Chrompet,732,54,1,1,2,AdjLand,No,Others,ELO,Paved,RH,3.5,4,6873290
Karapakkam,970,165,1,1,3,Normal Sale,No,Others,ELO,No Access,RH,4.1,4,5369000
Chrompet,1060,36,1,1,3,Normal Sale,No,Commercial,AllPub,Gravel,RH,2.5,4.9,12248000
Chrompet,832,98,1,1,3,AbNormal,Yes,House,ELO,Paved,RL,3.6,3.9,8448350
T Nagar,1990,18,2,1,5,AbNormal,No,Others,ELO,Gravel,RH,4.4,3.7,13784930
KK Nagar,1919,96,3,2,5,AbNormal,No,Others,AllPub,Paved,RM,5,2.8,11680440
KK Nagar,1994,111,3,2,5,Normal Sale,Yes,House,AllPub,Paved,RH,4.7,3.6,11038400
Chrompet,1296,145,2,1,4,AbNormal,Yes,Others,ELO,Paved,RM,3.6,4.4,11320770
Chrompet,704,135,1,1,2,Family,No,Commercial,NoSeWa,Paved,RL,2.7,2.3,8994000
Karapakkam,1321,61,1,1,3,Family,Yes,House,ELO,Gravel,RM,4.9,4.8,9699500
Adyar,1070,152,1,1,3,Normal Sale,No,Commercial,NoSeWa,Gravel,RM,3.9,3.1,14465005
Karapakkam,888,32,1,1,2,Partial,No,Others,NoSeWa,Paved,C,2.1,3.8,4663000
Chrompet,925,164,1,1,3,AbNormal,Yes,Others,AllPub,Paved,RM,4.6,2.9,9998750
Chrompet,880,144,1,1,3,Family,Yes,House,NoSeWa,No Access,RM,4.2,4,8604850
Karapakkam,805,119,1,1,2,Partial,Yes,Commercial,AllPub,Paved,A,4.6,2.4,6125000
T Nagar,1777,183,1,1,4,Normal Sale,Yes,House,ELO,Paved,RM,3.3,4.6,13372090
Anna Nagar,1703,66,1,1,4,Partial,No,Commercial,NoSeWa,No Access,RM,3.5,2.1,18712070
T Nagar,1899,22,2,1,5,AbNormal,Yes,Commercial,AllPub,Paved,RM,4,4.7,22300300
Chrompet,1169,50,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Gravel,RL,4.7,4.1,15251600
Chrompet,819,108,1,1,3,Family,No,Others,ELO,Gravel,RL,4.3,4.8,8262630
Anna Nagar,1814,86,2,1,5,AdjLand,No,House,AllPub,No Access,RL,2.9,2.1,12012530
Chrompet,711,16,1,1,2,AdjLand,No,Commercial,AllPub,Paved,RH,3.9,4.5,9622550
Anna Nagar,1669,26,1,1,4,Family,Yes,Commercial,AllPub,Gravel,RM,2.2,4.6,20938520
Chrompet,1028,158,1,1,3,Normal Sale,No,Others,NoSewr ,Paved,RM,4.6,4.1,9429860
Chrompet,860,34,1,1,3,AdjLand,Yes,House,ELO,Gravel,RM,3.3,3.3,9766450
Chrompet,1266,123,2,1,4,Normal Sale,Yes,House,AllPub,No Access,RH,3.2,2.5,9375550
Anna Nagar,1906,86,2,1,5,AdjLand,Yes,Commercial,ELO,Gravel,RM,3.7,3,22712170
KK Nagar,2178,119,3,2,5,Partial,No,Commercial,NoSewr ,Paved,RM,3.8,4.4,17336020
Chrompet,1300,73,2,1,4,AdjLand,No,Commercial,AllPub,No Access,RL,3,2.8,14366450
Velachery,1614,166,2,1,4,Partial,Yes,Commercial,AllPub,Gravel,RL,4.5,2.5,15539100
Adyar,1175,200,1,1,3,Normal Sale,No,Others,NoSewr ,No Access,A,4.9,2.4,7038165
Chrompet,1294,117,2,1,4,Normal Sale,No,House,NoSeWa,Gravel,RL,2.2,2.8,9492700
Chrompet,835,45,1,1,3,Normal Sale,No,Commercial,NoSeWa,Gravel,RL,3.7,2.5,10905500
T Nagar,1964,117,2,1,5,AdjLand,No,Commercial,NoSeWa,Paved,RL,3.8,3.2,21875100
Velachery,1754,127,2,1,4,AbNormal,Yes,Others,NoSeWa,Paved,RM,2,4.6,11905350
Anna Nagar,1866,177,2,1,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RM,4.1,3.3,22149210
Velachery,1898,87,3,2,5,Normal Sale,Yes,Commercial,AllPub,No Access,I,4.6,4.1,14608180
Chrompet,798,20,1,1,2,AdjLand,No,Others,NoSeWa,No Access,RH,3.6,4.5,6646210
T Nagar,1626,170,1,1,4,Family,Yes,Commercial,AllPub,No Access,RH,3,3.1,18073600
KK Nagar,1657,63,2,1,4,AdjLand,No,House,NoSeWa,Gravel,RH,4.3,3.1,9367960
Velachery,1766,169,2,1,4,AdjLand,Yes,Commercial,ELO,Gravel,I,5,2.7,15601870
Karapakkam,661,122,1,1,2,Family,Yes,House,NoSewr ,Gravel,RM,4.8,2.1,7750000
KK Nagar,2442,64,4,2,6,AbNormal,Yes,Commercial,AllPub,Paved,RL,3.6,3,19678440
Adyar,914,185,1,1,3,Partial,No,House,NoSewr ,No Access,RM,4.7,4.6,7895235
Chrompet,885,32,1,1,3,AbNormal,No,Commercial,NoSeWa,Paved,RH,4.5,2.5,10088000
Anna Nagar,1983,46,2,1,5,Normal Sale,Yes,Commercial,NoSewr ,No Access,RM,2.8,3.4,22519520
Anna Nagar,1522,94,1,1,4,Normal Sale,Yes,Others,AllPub,Paved,RM,3.1,5,13991160
Anna Nagar,1970,50,2,1,5,Family,Yes,Others,NoSeWa,No Access,RM,3.9,4.8,15043490
Velachery,1572,95,2,1,4,AbNormal,No,Commercial,NoSewr ,No Access,RM,4.6,3.3,13627500
Anna Nagar,1507,140,1,1,4,AbNormal,Yes,Commercial,NoSewr ,Gravel,RH,4.7,2.7,18438250
KK Nagar,1330,115,1,1,3,Partial,No,Commercial,NoSewr ,Paved,RL,4.9,4.1,11868140
KK Nagar,1373,61,2,1,4,Normal Sale,Yes,House,AllPub,Paved,RL,4.7,3.5,9775540
Adyar,1118,59,1,1,3,AbNormal,Yes,House,ELO,Paved,I,2,2.3,8280325
Anna Nagar,1591,23,1,1,4,Normal Sale,No,House,AllPub,Paved,RM,3.8,4.4,11883360
KK Nagar,1404,10,2,1,4,AbNormal,No,House,NoSewr ,Paved,RL,3.3,2.4,8511480
Anna Nagar,1867,117,2,1,5,Partial,No,Commercial,AllPub,No Access,RM,3.9,2.5,20420270
KK Nagar,2479,92,4,2,6,Family,No,Others,NoSeWa,Paved,RM,4.4,2.3,13039760
KK Nagar,1768,30,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RH,3.2,3.4,14573400
Velachery,1650,73,2,1,4,Normal Sale,Yes,Others,ELO,Paved,C,4.4,4.7,9514610
Adyar,1035,166,1,1,3,AbNormal,No,House,NoSewr ,Paved,RL,3.9,4.3,9081775
Chrompet,936,182,1,1,3,AbNormal,Yes,House,ELO,Gravel,RM,2.1,3.9,9912300
Adyar,918,5,1,1,3,Partial,Yes,Others,NoSewr ,Paved,A,2.1,2.6,7061080
Chrompet,785,192,1,1,2,Partial,Yes,Others,NoSewr ,Gravel,RH,2.3,2.6,8485200
Chrompet,923,200,1,1,3,AbNormal,Yes,Commercial,AllPub,Gravel,RM,4.7,3.4,13639800
Anna Nagar,1592,110,1,1,4,AbNormal,Yes,Commercial,NoSewr ,Paved,RL,5,4.2,18853070
KK Nagar,1350,63,2,1,4,Family,Yes,Commercial,NoSeWa,Paved,RM,4,4.3,13510380
Chrompet,1245,134,2,1,4,Family,Yes,Commercial,ELO,No Access,RL,4.2,2.4,13663850
Karapakkam,1563,192,2,2,4,Family,No,House,NoSewr ,Paved,C,3.6,3.7,6192250
Chrompet,725,3,1,1,2,AbNormal,No,House,NoSewr ,No Access,RM,2.2,2,7094000
KK Nagar,2442,71,4,2,6,AbNormal,No,Others,NoSeWa,Gravel,RH,3.8,3,12588460
Chrompet,1110,141,1,1,3,Family,Yes,Others,AllPub,Gravel,RL,2.6,3.2,10755300
Karapakkam,559,68,1,1,2,AbNormal,Yes,House,NoSeWa,No Access,RL,2,2.3,5398500
Anna Nagar,1708,81,1,1,4,AbNormal,Yes,Commercial,AllPub,Gravel,RM,4.2,3.8,21406480
Karapakkam,829,146,1,1,2,AdjLand,Yes,Commercial,NoSewr ,Gravel,C,4.3,3,8553000
Anna Nagar,1744,155,1,1,4,Family,No,Commercial,ELO,Paved,RH,2.2,2.9,18115790
T Nagar,1649,66,1,1,4,Family,Yes,Others,NoSeWa,No Access,RH,4.9,5,12436750
KK Nagar,1323,49,1,1,3,Partial,No,Commercial,AllPub,Paved,RL,4.7,4.8,11915040
Velachery,1864,110,3,2,5,AdjLand,No,House,ELO,Gravel,RM,2.6,2,11293450
Velachery,1514,93,2,1,4,AbNormal,Yes,Others,NoSeWa,Paved,RL,4.8,3.3,10694910
Anna Nagar,1669,54,1,1,4,AdjLand,No,House,AllPub,Gravel,RL,4.9,3,13022050
Anna Nagar,1993,69,2,1,5,AdjLand,Yes,Others,NoSewr ,Gravel,RH,2.5,3.6,15778370
Karapakkam,1459,3,2,2,4,AbNormal,Yes,Others,NoSeWa,No Access,RM,4.6,3.7,9460875
